ID,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Warehouse_block_A,Warehouse_block_B,Warehouse_block_C,Warehouse_block_D,Warehouse_block_F
1,0.4,0.25,0.37850467289719625,0.16666666666666669,0,0,0.7166666666666666,0.03389335281227174,1,0,0,0,1,0
2,0.4,1.0,0.5607476635514018,0.0,0,1,0.9666666666666666,0.3048940832724616,1,0,0,0,0,1
3,0.0,0.25,0.40654205607476634,0.3333333333333333,0,1,0.7833333333333333,0.3466764061358656,1,1,0,0,0,0
4,0.20000000000000007,0.5,0.3738317757009346,0.3333333333333333,1,1,0.15,0.02571219868517166,1,0,1,0,0,0
5,0.0,0.25,0.4112149532710281,0.16666666666666669,1,0,0.7499999999999999,0.216654492330168,1,0,0,1,0,0
6,0.20000000000000007,0.0,0.30841121495327106,0.16666666666666669,1,0,0.18333333333333335,0.06077428780131483,1,0,0,0,0,1
7,0.20000000000000007,0.75,0.7196261682242991,0.16666666666666669,0,0,0.03333333333333334,0.20014609203798392,1,0,0,0,1,0
8,0.4,0.0,0.6401869158878505,0.0,0,0,0.7833333333333333,0.2634039444850256,1,0,0,0,0,1
9,0.20000000000000007,0.75,0.25233644859813087,0.16666666666666669,0,0,0.16666666666666666,0.12563915266617967,1,1,0,0,0,0
10,0.20000000000000007,0.25,0.31775700934579443,0.16666666666666669,1,0,0.4666666666666667,0.027173119065010964,1,0,1,0,0,0
11,0.20000000000000007,0.75,0.43457943925233644,0.0,1,1,0.18333333333333335,0.27567567567567564,1,0,0,1,0,0
12,0.4,1.0,0.6355140186915887,0.16666666666666669,1,0,0.5166666666666666,0.32899926953981007,1,0,0,0,0,1
13,0.20000000000000007,1.0,0.47663551401869153,0.16666666666666669,1,0,0.0,0.3894813732651571,1,0,0,0,1,0
14,0.4,0.75,0.836448598130841,0.16666666666666669,2,1,0.4666666666666667,0.23389335281227172,1,0,0,0,0,1
15,0.4,0.5,0.26168224299065423,0.16666666666666669,0,1,0.7,0.0011687363038714316,1,1,0,0,0,0
16,0.4,0.5,0.6121495327102803,0.16666666666666669,0,0,0.7333333333333333,0.24923301680058438,1,0,1,0,0,0
17,0.20000000000000007,0.75,0.21962616822429903,0.0,1,0,0.08333333333333334,0.02819576333089846,1,0,0,1,0,0
18,0.6,1.0,0.6121495327102803,0.16666666666666669,1,1,0.5833333333333333,0.4311176040905771,1,0,0,0,0,1
19,0.6,1.0,0.6682242990654205,0.16666666666666669,2,1,0.2833333333333333,0.21826150474799125,1,0,0,0,1,0
20,0.4,1.0,0.2289719626168224,0.16666666666666669,1,1,0.7333333333333333,0.00847333820306792,1,0,0,0,0,1
21,0.20000000000000007,0.5,0.3037383177570093,0.0,1,0,0.6166666666666666,0.07596785975164352,1,1,0,0,0,0
22,0.20000000000000007,0.0,0.6355140186915887,0.3333333333333333,1,0,0.8333333333333333,0.2772826880934989,1,0,1,0,0,0
23,0.0,1.0,0.28037383177570097,0.0,0,1,0.016666666666666666,0.10942293644996345,1,0,0,1,0,0
24,0.4,0.5,0.5373831775700935,0.16666666666666669,2,1,0.18333333333333335,0.4267348429510591,1,0,0,0,0,1
25,0.4,1.0,0.7242990654205607,0.0,1,0,0.45,0.37399561723886043,1,0,0,0,1,0
26,0.20000000000000007,0.0,0.602803738317757,0.3333333333333333,0,1,0.4666666666666667,0.3644996347699051,1,0,0,0,0,1
27,0.4,0.0,0.3551401869158879,0.16666666666666669,2,0,0.38333333333333336,0.009495982468955444,1,1,0,0,0,0
28,0.6,0.0,0.30841121495327106,0.16666666666666669,1,1,0.49999999999999994,0.06340394448502557,1,0,1,0,0,0
29,0.0,0.5,0.6448598130841122,0.3333333333333333,0,1,0.7166666666666666,0.3116143170197224,1,0,0,1,0,0
30,0.6,0.75,0.40654205607476634,0.0,0,0,0.5833333333333333,0.41168736303871445,1,0,0,0,0,1
31,0.20000000000000007,0.75,0.7943925233644858,0.0,1,0,0.6166666666666666,0.254200146092038,1,0,0,0,1,0
32,0.6,0.5,0.7523364485981309,0.0,0,0,0.9999999999999999,0.34185536888239587,1,0,0,0,0,1
33,0.20000000000000007,0.0,0.5934579439252335,0.16666666666666669,0,0,0.35,0.4081811541271001,1,1,0,0,0,0
34,0.4,0.25,0.6448598130841122,0.16666666666666669,1,1,0.05,0.33016800584368156,1,0,1,0,0,0
35,0.4,0.25,0.6121495327102803,0.3333333333333333,1,0,0.35,0.21314828341855366,1,0,0,1,0,0
36,0.6,0.75,0.24766355140186913,0.16666666666666669,1,0,0.7166666666666666,0.11833455076698321,1,0,0,0,0,1
38,0.0,0.75,0.397196261682243,0.6666666666666667,1,0,0.25,0.3804236669101534,1,0,0,0,0,1
39,0.6,0.0,0.5560747663551401,0.3333333333333333,0,0,0.9166666666666666,0.4242512783053324,1,1,0,0,0,0
